,image_name,image_source,coo_1,coo_2,coo_3,coo_4
0,Page2__.jpg,Page2,0.494163,0.301358,0.291868,0.0619835
1,DeSa__.jpg,DeSa,0.439157,0.741329,0.415663,0.0526012
2,DeSa__4.jpg,DeSa,0.45241,0.543353,0.339759,0.0416185
3,Page3__.jpg,Page3,0.321057,0.389454,0.129704,0.0571792
4,Page4__5.jpg,Page4,0.507806,0.791269,0.345476,0.156889
5,DeSa__2.jpg,DeSa,0.315663,0.647688,0.314458,0.050289
6,Page4__3.jpg,Page4,0.738391,0.306958,0.106085,0.0900409
7,DeSa2__.jpg,DeSa2,0.439157,0.741329,0.415663,0.0526012
8,DeSa2__2.jpg,DeSa2,0.315663,0.647688,0.314458,0.050289
9,Page4__2.jpg,Page4,0.377902,0.305935,0.0832666,0.085266
10,Page5__.jpg,Page5,0.485121,0.951722,0.342208,0.0955115
11,DeSa2__3.jpg,DeSa2,0.421084,0.451445,0.453012,0.0693642
12,Page4__4.jpg,Page4,0.500801,0.305935,0.0776621,0.0511596
13,DeSa__3.jpg,DeSa,0.421084,0.451445,0.453012,0.0693642
14,DeSa2__4.jpg,DeSa2,0.45241,0.543353,0.339759,0.0416185
15,Page4__.jpg,Page4,0.293435,0.187926,0.0760608,0.0648022
16,Page1__.jpg,Page1,0.487605,0.903516,0.395378,0.169531
